x            y
0.000000     5.000000
0.100000     5.011927
0.200000     4.993374
0.300000     4.945694
0.400000     4.870414
0.500000     4.769265
0.600000     4.644203
0.700000     4.497438
0.800000     4.331469
0.900000     4.149117
1.000000     3.953566
1.100000     3.748409
1.200000     3.537697
1.300000     3.325997
1.400000     3.118458
1.500000     2.920879
1.600000     2.739788
1.700000     2.582539
1.800000     2.457402
1.900000     2.373687
2.000000     2.341858
